id,title,publication_date,viewCount,likeCount,dislikeCount,commentCount,url
zimam9sk_7c,เพื่อนร่วมทาง The Journey Ep.11 Part 1,22/03/2018 11:00 PM,67203,913,18,88,https://www.youtube.com/watch?v=zimam9sk_7c
V5TO16lS-iM,【Audio Full】Shonichi วันแรก / BNK48,29/03/2018 1:18 PM,3111412,45773,838,4644,https://www.youtube.com/watch?v=V5TO16lS-iM
1_gg3Cocjjg,เพื่อนร่วมทาง The Journey Ep.12 Part 1,30/03/2018 9:00 AM,61623,1009,31,189,https://www.youtube.com/watch?v=1_gg3Cocjjg
qRb3Y4X-Ld0,เพื่อนร่วมทาง The Journey Ep.12 Part 3,30/03/2018 9:00 AM,55138,992,27,139,https://www.youtube.com/watch?v=qRb3Y4X-Ld0
tRJxHvw_ZfU,เพื่อนร่วมทาง The Journey Ep.12 Part 2,30/03/2018 9:00 AM,43528,616,20,93,https://www.youtube.com/watch?v=tRJxHvw_ZfU
J9D2VqWadxc,"「RIVER」Senbatsu Announcement from Tao Kae Noi Presents BNK48 1st Concert ""STARTO"" / BNK48",31/03/2018 9:50 PM,387185,10912,178,2403,https://www.youtube.com/watch?v=J9D2VqWadxc
7lKDNvhvMiM,Shonichi The Stories / BNK48,1/04/2018 9:35 PM,767518,37771,500,5247,https://www.youtube.com/watch?v=7lKDNvhvMiM
TxI8FViS2GM,"Video Messages「Koisuru Fortune Cookie 100,000,000 Views」 / BNK48",2/04/2018 11:30 AM,170058,9281,91,1326,https://www.youtube.com/watch?v=TxI8FViS2GM
QWT0rVwdfoU,"Video Compilation from Tao Kae Noi Presents BNK48 1st Concert ""STARTO"" / BNK48",3/04/2018 4:15 PM,136219,5566,80,571,https://www.youtube.com/watch?v=QWT0rVwdfoU
j4__wZnPLOQ,เพื่อนร่วมทาง The Journey Ep.13 Part 3,7/04/2018 10:30 AM,73231,1547,47,256,https://www.youtube.com/watch?v=j4__wZnPLOQ
Yw7Z0ciDblQ,เพื่อนร่วมทาง The Journey Ep.13 Part 2,7/04/2018 10:30 AM,81254,1385,50,168,https://www.youtube.com/watch?v=Yw7Z0ciDblQ
XUlfIkKclbQ,เพื่อนร่วมทาง The Journey Ep.13 Part 1,7/04/2018 10:30 AM,125923,2053,70,222,https://www.youtube.com/watch?v=XUlfIkKclbQ
IMx1ojx2fiE,【MV Full】Shonichi วันแรก / BNK48,10/04/2018 9:00 AM,9142543,140237,4433,14816,https://www.youtube.com/watch?v=IMx1ojx2fiE
4TKCbe8jyRI,【MV Full】RIVER / BNK48,30/04/2018 10:00 PM,17561474,236297,14887,48370,https://www.youtube.com/watch?v=4TKCbe8jyRI
XS1EXO_rjQY,【AKB48 53rdシングル世界選抜総選挙】Preliminary Results #120 Music (BNK48 Team BⅢ) Special Messages / BNK48,31/05/2018 6:20 PM,154076,6807,104,711,https://www.youtube.com/watch?v=XS1EXO_rjQY
3cvKAEbeSOM,【AKB48 53rdシングル世界選抜総選挙】Preliminary Results #101 Cherprang (BNK48 Team BⅢ) Special Messages / BNK48,31/05/2018 6:20 PM,211270,9785,109,1011,https://www.youtube.com/watch?v=3cvKAEbeSOM
kuhnap44Izo,「Tsugi no Season –ฤดูใหม่–」Senbatsu Members Announcement / BNK48,17/07/2018 9:15 PM,274958,13048,245,1963,https://www.youtube.com/watch?v=kuhnap44Izo
wi8-h7vLFpE,BNK48 : GIRLS DON'T CRY | Official Teaser,21/07/2018 12:00 AM,169958,8566,104,719,https://www.youtube.com/watch?v=wi8-h7vLFpE
XLID310BFog,BNK48 : GIRLS DON’T CRY | Official Trailer (Online Ver.),23/07/2018 7:00 PM,610965,21774,374,2963,https://www.youtube.com/watch?v=XLID310BFog
5txOhaAtb7Y,BNK48 : GIRLS DON’T CRY | Official Trailer (Cinema Ver.),26/07/2018 7:00 PM,351788,15643,166,1723,https://www.youtube.com/watch?v=5txOhaAtb7Y
A2VrbwgWjT0,【MV Full】Tsugi no Season ฤดูใหม่ / BNK48,3/08/2018 8:00 PM,13088142,172316,8324,30146,https://www.youtube.com/watch?v=A2VrbwgWjT0
yR76JRVf9SM,「Kimi wa Melody –เธอคือ...เมโลดี้–」Senbatsu Members Announcement / BNK48,18/08/2018 6:15 PM,822862,30338,512,8065,https://www.youtube.com/watch?v=yR76JRVf9SM
bmMAKDC-PZI,「Yume e no Route –หมื่นเส้นทาง–」Senbatsu Members Announcement / BNK48,19/08/2018 7:25 PM,391132,15008,185,3113,https://www.youtube.com/watch?v=bmMAKDC-PZI
u8KfteF4RIU,「BNK48 หมื่นเส้นทาง Challenge Project 〜Jiradapa Produced Concert〜」Announcement / BNK48,19/08/2018 7:25 PM,177834,6971,79,1107,https://www.youtube.com/watch?v=u8KfteF4RIU
MjQgdETPG3k,BNK48 SENPAI : 2nd Generation | Teaser,30/08/2018 5:48 PM,192101,8521,147,904,https://www.youtube.com/watch?v=MjQgdETPG3k
nag9fwxFBAo,【MV Teaser】Kimi wa Melody เธอคือ…เมโลดี้ / BNK48,1/09/2018 10:00 AM,383027,22479,186,2890,https://www.youtube.com/watch?v=nag9fwxFBAo
Lp0AyFwYR44,KhunKai’s Kitchen EP01 : Meringue / KaimookBNK48,3/09/2018 11:40 AM,40487,1653,25,134,https://www.youtube.com/watch?v=Lp0AyFwYR44
ocHexbCqcxE,KhunKai’s Kitchen EP02 : Animal Pancake / KaimookBNK48,3/09/2018 11:40 AM,23982,1191,16,96,https://www.youtube.com/watch?v=ocHexbCqcxE
LpLWRd5Lfdg,KhunKai’s Kitchen EP03 : Strawberry Panna Cotta / KaimookBNK48,3/09/2018 11:41 AM,23603,1244,17,94,https://www.youtube.com/watch?v=LpLWRd5Lfdg
gTbh_3Mglsc,KhunKai’s Kitchen EP04 : Rainbow Pancake / KaimookBNK48,3/09/2018 11:41 AM,20026,1145,18,80,https://www.youtube.com/watch?v=gTbh_3Mglsc
ivQbU5i8EXc,KhunKai’s Kitchen EP05 : Santa Claus Jelly / KaimookBNK48,3/09/2018 11:41 AM,15356,769,13,40,https://www.youtube.com/watch?v=ivQbU5i8EXc
WT2gRIrooM4,KhunKai’s Kitchen EP06 : Christmas Cookies / KaimookBNK48,3/09/2018 11:42 AM,12369,673,11,37,https://www.youtube.com/watch?v=WT2gRIrooM4
xNEuiLFg-oI,KhunKai’s Kitchen EP08 : Ice Cream Homemade / KaimookBNK48,3/09/2018 11:44 AM,8681,494,15,23,https://www.youtube.com/watch?v=xNEuiLFg-oI
nv6sfWTgZW8,KhunKai’s Kitchen EP10 : อยากกินก๋วยเตี๋ยวว้อย! / KaimookBNK48,3/09/2018 11:44 AM,77849,2798,65,163,https://www.youtube.com/watch?v=nv6sfWTgZW8
dlSyuTq1ERE,KhunKai’s Kitchen EP09 : S’more / KaimookBNK48,3/09/2018 11:44 AM,12937,686,16,44,https://www.youtube.com/watch?v=dlSyuTq1ERE
iEpSeV-611c,KhunKai’s Kitchen EP07 : No Sugar Brownie / KaimookBNK48,3/09/2018 11:47 AM,17335,890,14,79,https://www.youtube.com/watch?v=iEpSeV-611c
GUFi43Y3MG8,KhunKai’s Kitchen EP11 : Koisuru Orange Cookies / KaimookBNK48,4/09/2018 10:28 AM,19220,644,15,48,https://www.youtube.com/watch?v=GUFi43Y3MG8
yG9eQzSrytA,KhunKai's Kitchen EP13 : Fruit Ice Cream / KaimookBNK48,4/09/2018 10:28 AM,10107,382,10,31,https://www.youtube.com/watch?v=yG9eQzSrytA
38c2e4BHBlA,KhunKai’s Kitchen EP12 : Nink’s Birthday Cake / KaimookBNK48,4/09/2018 10:28 AM,13998,475,14,28,https://www.youtube.com/watch?v=38c2e4BHBlA
eDJj2iz1Ifs,KhunKai’s Kitchen EP15 : Cheese Tart / KaimookBNK48,4/09/2018 10:33 AM,26809,672,18,47,https://www.youtube.com/watch?v=eDJj2iz1Ifs
dIEZNI-7SHk,KhunKai’s Kitchen EP16 : Chocolate Curry / KaimookBNK48,4/09/2018 10:34 AM,14929,408,7,22,https://www.youtube.com/watch?v=dIEZNI-7SHk
c1PlsvmzHeo,KhunKai’s Kitchen EP14 : บัวลอย เจ้าเพื่อนยาก! / KaimookBNK48,4/09/2018 10:34 AM,52317,1460,20,96,https://www.youtube.com/watch?v=c1PlsvmzHeo
S5rW_A15Egg,KhunKai’s Kitchen EP18 : Macaroni Kratin / KaimookBNK48,4/09/2018 10:36 AM,15898,423,15,37,https://www.youtube.com/watch?v=S5rW_A15Egg
UCP2K0_dvhs,KhunKai’s Kitchen EP17 : White Day Menu / KaimookBNK48,4/09/2018 10:37 AM,35312,732,17,55,https://www.youtube.com/watch?v=UCP2K0_dvhs
B_yBhn2BdBg,KhunKai’s Kitchen EP19 : Hato Cupcake / KaimookBNK48,4/09/2018 10:38 AM,230451,5432,135,233,https://www.youtube.com/watch?v=B_yBhn2BdBg
B_wG_4J63Jw,KhunKai’s Kitchen EP20 : น้ำผักสลอธสูตรต่ามู้ต่ามี้~ / KaimookBNK48,4/09/2018 10:41 AM,81400,1927,25,142,https://www.youtube.com/watch?v=B_wG_4J63Jw
yUtJj1yl0lU,KhunKai’s Kitchen EP21 : โอนิกิริต้มยำกุ้ง! / KaimookBNK48,5/09/2018 11:58 AM,49470,968,21,68,https://www.youtube.com/watch?v=yUtJj1yl0lU
5DMyzWM2qXc,KhunKai’s Kitchen EP22 : CANDY!! / KaimookBNK48,5/09/2018 11:58 AM,36287,808,16,64,https://www.youtube.com/watch?v=5DMyzWM2qXc
pSvDu6OVCvE,KhunKai’s Kitchen EP25 : Punch Soda / KaimookBNK48,5/09/2018 12:10 PM,93718,2245,24,200,https://www.youtube.com/watch?v=pSvDu6OVCvE
jXniuuFuF6Q,KhunKai’s Kitchen EP24 : Choco Lava Mug Cake / KaimookBNK48,5/09/2018 12:12 PM,318210,6695,104,416,https://www.youtube.com/watch?v=jXniuuFuF6Q
dthvRfCnzhI,KhunKai’s Kitchen EP29 : Heart gata Cake / KaimookBNK48,5/09/2018 12:14 PM,24958,547,14,38,https://www.youtube.com/watch?v=dthvRfCnzhI
S7KaEEQUHAA,KhunKai’s Kitchen EP23 : Matcha Macaron / KaimookBNK48,5/09/2018 12:18 PM,97815,2165,25,133,https://www.youtube.com/watch?v=S7KaEEQUHAA
